url	sourceUrl	type	blocked
https://www.youtube.com/youtubei/v1/log_event?alt=json&key=AIzaSyAO_FJ2SlqU8Q4STEHLGCilw_Y9_11qcW8	https://example.com	script	true
https://www.google.com/aclk?sa=l&ai=DChcSEwioqMfq5ovjAhVvte0KHXBYDKoYABAJGgJkZw&sig=AOD64_0IL5OYOIkZA7qWOBt0yRmKL4hKJw&ctype=5&q=&ved=0ahUKEwjQ88Hq5ovjAhXYiVwKHWAgB5gQww8IXg&adurl=	https://www.google.com/aclk?sa=l&ai=DChcSEwioqMfq5ovjAhVvte0KHXBYDKoYABAJGgJkZw&sig=AOD64_0IL5OYOIkZA7qWOBt0yRmKL4hKJw&ctype=5&q=&ved=0ahUKEwjQ88Hq5ovjAhXYiVwKHWAgB5gQww8IXg&adurl=	main_frame	false
https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwin96uLgYzjAhWH43cKHf0JA7YYABABGgJlZg&ohost=www.google.com&cid=CAASEuRoSkQKbbu2CAjK-zZJnF-wcw&sig=AOD64_1j63JqPtw22vaMasSE4aN1FRKtEw&ctype=5&q=&ved=0ahUKEwivnaWLgYzjAhUERxUIHWzYDTQQ9A4IzgI&adurl=	https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwin96uLgYzjAhWH43cKHf0JA7YYABABGgJlZg&ohost=www.google.com&cid=CAASEuRoSkQKbbu2CAjK-zZJnF-wcw&sig=AOD64_1j63JqPtw22vaMasSE4aN1FRKtEw&ctype=5&q=&ved=0ahUKEwivnaWLgYzjAhUERxUIHWzYDTQQ9A4IzgI&adurl=	main_frame	false
https://www.researchgate.net/profile/Ruofei_Zhang/publication/221653522_Bid_landscape_forecasting_in_online_Ad_exchange_marketplace/links/53f10c1f0cf2711e0c432641.pdf	https://www.researchgate.net/profile/Ruofei_Zhang/publication/221653522_Bid_landscape_forecasting_in_online_Ad_exchange_marketplace/links/53f10c1f0cf2711e0c432641.pdf	main_frame	false
https://www.google.com/search?q=Bid+Landscape+Forecasting+in+Online+Exchange+Marketplace&oq=Landscape+Forecasting+in+Online+Ad+Exchange+Marketplace	https://www.google.com/search?q=Bid+Landscape+Forecasting+in+Online+Exchange+Marketplace&oq=Landscape+Forecasting+in+Online+Ad+Exchange+Marketplace	main_frame	false
https://platform.twitter.com/widgets.js	https://fmarier.github.io/brave-testing/social-widgets.html	script	false
https://i.ytimg.com/vi/ePO5PSDxEz0/hq720.jpg?sqp=-oaymwEZCK4FEIIDSEbyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBGzlwBzqYum-TtLvnZelV6fZMKYQ	https://m.youtube.com/	image	false
https://m.youtube.com/yts/jsbin/mobile-c3-activeview-vflNcJ8Q1/mobile-c3-activeview.js	https://m.youtube.com/	script	false
https://m.youtube.com/yts/cssbin/mobile-c3-light-2x-vfl1Fy8VX.css	https://m.youtube.com/	stylesheet	false
https://fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxPKTU1Kg.ttf	https://m.youtube.com/	font	false
https://googleads.g.doubleclick.net/pagead/id	https://m.youtube.com/	xhr	true
https://yt3.ggpht.com/-6Yjb9ya2ETs/AAAAAAAAAAI/AAAAAAAAAAA/jRCIdTp_htQ/s68-c-k-no-mo-rj-c0xffffff/photo.jpg	https://m.youtube.com/	image	false
https://m.youtube.com/yts/jsbin/player-plasma-ias-phone-en_GB-vfl-TJfdP/base.js	https://m.youtube.com/	script	false
https://m.youtube.com/yts/cssbin/mobile-polymer-player-ias-mweb-2x-vflsTwlMM.css	https://m.youtube.com/	stylesheet	false
https://m.youtube.com/csi_204?v=2&s=youtube_mobile&action=home&yt_sts=n&st=169&vpni=3&vpil=3&yt_lt=cold&is_nav=1&csn=uM9fXYLTLtKQ1waPx6KoDQ&p=h2&t=tcp&yt_vis=1&pis=downloading&yt_fn=what_to_watch&GetBrowse_rid=0x76c7c55799a38bb5&c=MWEB&cver=2.20190822.03.01&yt_li=0&rt=ai.289,apr.292,srt.78,fpt.261,nreqs.3,nress.78,nrese.201,wffs.245,wffe.275,pdr.300,ips.323,ipc.338,cpt.339,vpl.431,aft.339,ps.464	https://m.youtube.com/	image	false
